Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1cqnTEXHBulQZrwpstH4wl-zhlXGpn_2HWKnUhfvO0y4/export?format=csv&gid=1141120465

---

Date,Income,Expenditure,Net,# Transactions
2023-03-11,"1,500,000.00","137,500.00","1,362,500.00",6
2023-03-12,0.00,"15,500.00","-15,500.00",1
2023-03-13,0.00,"30,500.00","-30,500.00",2
2023-03-15,0.00,"153,600.00","-153,600.00",7
2023-03-16,0.00,"577,900.00","-577,900.00",6
2023-03-17,0.00,"90,000.00","-90,000.00",1
2023-03-18,0.00,"8,000.00","-8,000.00",1
2023-03-19,0.00,"156,000.00","-156,000.00",6
2023-03-20,0.00,"25,000.00","-25,000.00",1
2023-03-21,0.00,"126,000.00","-126,000.00",3
2023-03-22,0.00,"184,500.00","-184,500.00",4
2023-03-23,0.00,"315,200.00","-315,200.00",4
2023-03-24,0.00,"270,000.00","-270,000.00",5
2023-03-25,0.00,"424,600.00","-424,600.00",11
2023-03-28,0.00,"40,500.00","-40,500.00",2
2023-03-29,0.00,"124,000.00","-124,000.00",3
2023-03-31,0.00,"68,500.00","-68,500.00",6
2023-04-01,0.00,"310,000.00","-310,000.00",6
2023-04-03,"1,800,000.00","250,765.00","1,549,235.00",5
2023-04-04,0.00,"577,945.00","-577,945.00",13
2023-04-05,0.00,"83,500.00","-83,500.00",4
2023-04-06,0.00,"49,500.00","-49,500.00",4
2023-04-07,"1,500,000.00","392,300.00","1,107,700.00",8
2023-04-08,"1,500,000.00","287,200.00","1,212,800.00",4
2023-04-10,0.00,"880,400.00","-880,400.00",7
2023-04-11,0.00,"473,100.00","-473,100.00",3
